종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"472830","RISE 미국30년국채커버드콜(합성)","9185","105","1.16","9210.67","9190","9195","9165","34242","314411676","59702500000","0","6500000","Bloomberg U.S. Treasury 20+ Year (TLT) 2% OTM Covered Call Index(TR)","983.98","4.76","0.49"
"485690","RISE 미국AI밸류체인TOP3Plus","16855","-350","-2.03","16895.62","16915","16995","16765","38730","655051244","69105500000","0","4100000","KEDI 미국 AI 밸류체인 TOP3 Plus 지수(Price Return)","7306.97","0.00","0.00"
"490590","RISE 미국AI밸류체인데일리고정커버드콜","12535","-235","-1.84","12535.11","12570","12590","12510","593195","7444897102","479463750000","0","38250000","KEDI 미국 AI밸류체인 90%참여+데일리옵션 프리미엄 지수(TR)","8141.05","0.00","0.00"
"0127R0","RISE 미국AI클라우드인프라","11285","-195","-1.70","11299.71","11420","11420","11225","10018","112859820","11285000000","0","1000000","Akros 미국 AI 클라우드 인프라 지수(Price Return)","8704.86","0.00","0.00"
"495940","RISE 미국AI테크액티브","14430","-235","-1.60","14467.32","14660","14660","14400","8531","123198722","38239500000","0","2650000","Solactive US AI Tech Active Index PR","6159.96","-45.78","-0.74"
"379780","RISE 미국S&P500","21335","-415","-1.91","21395.98","21360","21415","21310","795950","17004780982","1399576000000","0","65600000","S&P 500","6836.17","3.41","0.05"
"453330","RISE 미국S&P500(H)","16215","-340","-2.05","16249.50","16290","16300","16215","23196","377035062","90804000000","0","5600000","S&P 500","6836.17","3.41","0.05"
"0138T0","RISE 미국S&P500데일리고정커버드콜","9615","-180","-1.84","9647.85","9710","9710","9590","106900","1028132592","29325750000","0","3050000","S&P500 10% Daily Fixed Covered Call Index","341.94","0.23","0.07"
"0005C0","RISE 미국S&P500엔화노출(합성 H)","11060","-190","-1.69","11099.35","11240","11240","11060","432","4787045","8848000000","0","800000","S&P500 Yen Hedged Index(PR)","2848.77","0.92","0.03"
"460660","RISE 미국S&P배당킹","12260","80","0.66","12187.62","12150","12960","12110","298899","3663047625","18390000000","0","1500000","S&P Dividend Monarchs Index(Price Return)","1330.25","9.72","0.74"
"219390","RISE 미국S&P원유생산기업(합성 H)","6330","-350","-5.24","6430.28","6500","6500","6275","68394","433648840","17407500000","0","2750000","S&P Oil & Gas Exploration & Production Select Industry Index(PR)","5576.43","0.00","0.00"
"0115C0","RISE 미국고배당다우존스TOP10","11435","-210","-1.80","11440.69","11460","11475","11370","32878","375941728","19439500000","0","1700000","Dow Jones U.S. High Dividend 10 Index","4143.53","35.40","0.86"
"354240","RISE 미국고정배당우선증권","11460","-35","-0.30","11561.00","11555","11590","11435","10187","116920255","14325000000","0","1250000","ICE BofAML Core Plus Fixed Rate Preferred Securities Index(PR)","78.80","0.19","0.24"
"368590","RISE 미국나스닥100","26260","-595","-2.22","26359.71","26325","26390","26230","329789","8676119536","1236846000000","0","47100000","NASDAQ 100","24732.73","45.12","0.18"
"437350","RISE 미국단기투자등급회사채액티브","12740","70","0.55","12737.31","12705","12740","12695","16078","204485450","28028000000","0","2200000","Bloomberg US Corporate 1-5 Years Total Return Index","269.13","0.28","0.10"
"455960","RISE 미국달러SOFR금리액티브(합성)","12385","10","0.08","12424.37","12385","12385","12345","1257","15551249","57837950000","0","4670000","KAP SOFR 지수","123.20","0.02","0.02"
"469530","RISE 미국달러선물인버스","9010","5","0.06","8993.57","9015","9015","9010","146","1315590","5766400000","0","640000","미국달러선물지수","1611.88","4.47","0.28"
"469060","RISE 미국반도체NYSE","24675","-480","-1.91","24413.49","24775","24995","24535","344427","8515817619","34545000000","0","1400000","NYSE Semicondoctor Index(Price Return)","1811.93","16.61","0.93"
"469050","RISE 미국반도체NYSE(H)","21660","-505","-2.28","21466.70","21645","21845","21580","35349","766272630","21660000000","0","1000000","NYSE Semicondoctor Index(Price Return)","1811.93","16.61","0.93"
"491630","RISE 미국반도체인버스(합성 H)","9785","335","3.54","9761.97","9690","9785","9625","2672","25962162","4403250000","0","450000","NYSE Semicondoctor Index(Price Return)","1811.93","16.61","0.93"
"490600","RISE 미국배당100데일리고정커버드콜","9420","-55","-0.58","9405.44","9475","9475","9380","180146","1695500712","111627000000","0","11850000","KEDI 미국 배당100 90%참여+데일리옵션 프리미엄 지수(총수익지수)","2370.95","0.00","0.00"
"0018Z0","RISE 미국양자컴퓨팅","14945","-500","-3.24","14981.03","14995","15035","14925","11575","173168054","14945000000","0","1000000","Solactive US Quantum Computing Technology Index PR","5814.45","70.31","1.22"
"0013P0","RISE 미국은행TOP10","11450","-510","-4.26","11538.69","11520","11585","11430","63294","729031712","14885000000","0","1300000","KEDI 미국 은행 TOP10 지수","2432.55","0.00","0.00"
"267440","RISE 미국장기국채선물(H)","8540","55","0.65","8548.16","8540","8550","8525","1625","13868152","6832000000","0","800000","S&P U.S. Treasury Bond Futures Excess Return Index","213.86","0.91","0.43"
"267490","RISE 미국장기국채선물레버리지(합성 H)","5740","75","1.32","5752.25","5755","5785","5740","852","4900025","5453000000","0","950000","S&P U.S. Treasury Bond Futures Excess Return Index","213.86","0.91","0.43"
"267450","RISE 미국장기국채선물인버스(H)","10565","-85","-0.80","10561.46","10550","10565","10540","22","232045","5282500000","0","500000","S&P U.S. Treasury Bond Futures Excess Return Index","213.86","0.91","0.43"
"0036Z0","RISE 미국천연가스밸류체인","12140","-140","-1.14","12214.39","12280","12280","12005","7233","87813325","8498000000","0","700000","Solactive US Natural Gas Value Chain Index PR","1822.12","29.67","1.66"
"491620","RISE 미국테크100데일리고정커버드콜","10290","-245","-2.33","10312.59","10310","10330","10275","758613","7816000109","318475500000","0","30950000","KEDI 미국 테크100 90%참여+데일리옵션 프리미엄 지수(TR)","3926.86","0.00","0.00"
"0036R0","RISE 미국휴머노이드로봇","16765","-460","-2.67","16868.11","16880","16915","16765","104366","1756761931","112325500000","0","6700000","KEDI 미국 휴머노이드 로봇 지수(시장가격)","6604.55","0.00","0.00"
"0000Z0","RISE 바이오TOP10액티브","15815","-315","-1.95","15845.97","15880","15960","15725","168136","2660556638","54561750000","0","3450000","KRX 바이오 TOP 10 지수","2750.75","-28.93","-1.04"
"446700","RISE 배터리 리사이클링","13185","-345","-2.55","13182.06","13425","13425","13115","12966","171758019","16876800000","0","1280000","iSelect 배터리 리사이클링 지수","3483.80","-107.57","-3.00"
"475350","RISE 버크셔포트폴리오TOP10","14025","-315","-2.20","14074.90","13985","14070","13985","45405","636982638","72228750000","0","5150000","Solactive Berkshire Portfolio Top10 Index(PR)","2866.39","-20.18","-0.70"
"388420","RISE 비메모리반도체액티브","19925","-355","-1.75","19875.81","19875","20240","19830","361340","7239886755","207618500000","0","10420000","iSelect 비메모리반도체 지수(시장가격지수)","5492.57","-99.49","-1.78"
"448630","RISE 삼성그룹Top3채권혼합","13375","0","0.00","13367.60","13325","13440","13310","388465","5196193781","189925000000","0","14200000","Bloomberg Blended Samsung Group Fixed Top 3 Equity and Korean Bond Index","2380.11","0.42","0.02"
"367770","RISE 수소경제테마","23350","-250","-1.06","23303.77","23380","23620","23130","66011","1544659865","143602500000","0","6150000","FnGuide 수소 경제 테마 지수","2940.87","-40.84","-1.37"
"140570","RISE 수출주","21985","-275","-1.24","21936.17","22030","22195","21805","12169","267523190","10992500000","0","500000","MKF 수출주 지수","21844.26","-346.60","-1.56"
"0093B0","RISE 엔비디아고정테크100","10890","-240","-2.16","10923.67","10920","10930","10855","6649","72441519","11434500000","0","1050000","KEDI 엔비디아고정테크100 지수(PR)","7757.49","0.00","0.00"
"140580","RISE 우량업종대표주","24115","275","1.15","24042.80","24025","24355","23925","2746","66459810","14469000000","0","600000","MKF 우량업종대표주 지수","24019.22","71.48","0.30"
"379790","RISE 유로스탁스50(H)","16255","-160","-0.97","16374.25","16375","16405","16220","3929","64216578","12191250000","0","750000","EURO STOXX 50 Index","5985.23","-26.06","-0.43"
"498610","RISE 인도디지털성장","9240","-250","-2.63","9272.48","9725","9725","9120","5343","49508625","5544000000","0","600000","MarketVector Digital India Index(INR)(Price Return)			","3584.23","-64.11","-1.76"
"488480","RISE 일본섹터TOP4Plus","14260","-160","-1.11","14152.03","14530","14530","14185","12838","182961826","7130000000","0","500000","Solactive Japan Samurai Sector TOP4 Plus Index(PR)","3117.63","-63.08","-1.98"
"385540","RISE 종합채권(A-이상)액티브","106050","240","0.23","106012.23","105965","106090","105930","2367","250962011","1751946000000","0","16520000","KIS 종합채권 지수(A-이상)(총수익지수)","123.61","0.37","0.30"
"183710","RISE 주식혼합","74545","160","0.22","74211.70","74500","75275","74340","1580","118260815","14909000000","0","200000","주식국채혼합(주식형)지수","3005.89","0.84","0.03"
"310080","RISE 중국MSCI China(H)","10535","-160","-1.50","10549.37","10650","10690","10420","3719","39147100","13168750000","0","1250000","MSCI China Index(USD, Price Return)","82.87","-1.25","-1.49"
"463300","RISE 중국본토CSI300","13520","-200","-1.46","13668.21","13830","13830","13505","2714","37043975","21632000000","0","1600000","CSI 300 Index","4660.41","-59.17","-1.25"
"174360","RISE 중국본토대형주CSI100","24065","-240","-0.99","24159.68","24290","24295","24062","10740","259694403","52943000000","0","2200000","CSI A100","4556.33","-63.66","-1.38"
"136340","RISE 중기우량회사채","105615","95","0.09","105607.67","105560","105650","105560","6381","673963640","136032120000","0","1288000","KOBI 크레딧 지수(총수익)","16116.29","13.44","0.08"
"281990","RISE 중소형고배당","19185","270","1.43","19162.39","18975","19320","18830","4855","92313381","14388750000","0","750000","FnGuide 중소형고배당포커스 지수","18550.30","149.76","0.81"
"272570","RISE 중장기국공채액티브","108815","80","0.07","108823.22","108870","108915","108815","212","23079850","24483375000","0","225000","KIS 종합채권국공채4~5Y지수","149.77","0.25","0.17"
